path=/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,fileName=20201212-WTMBT-D2-1-LD1.mp4,width=1296.0,height=972.0,aspectRatio=0.75,fps=30.000299997425888,numFrames=53821,numSeconds=1794.02,numEvents=46,videoFileNote=,
index,path,cSeconds,cDate,cTime,typeNum,typeStr,frameStart,frameStop,numFrames,sStart,sStop,numSeconds,chunkIndex,rChunkIndex,note,
0,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622647118.7941508,2021-06-02,11:18:38,7,g,24629,,None,820.96,,None,23,30,,,
1,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622647131.0024068,2021-06-02,11:18:51,4,d,24874,,None,829.13,,None,23,30,,,
2,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622647948.8546681,2021-06-02,11:32:28,4,d,19337,,None,644.56,,None,7,58,,,
3,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622647951.644705,2021-06-02,11:32:31,5,e,19396,,None,646.53,,None,7,58,,,
4,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622648761.243479,2021-06-02,11:46:01,7,g,12490,,None,416.33,,None,5,100,,,
5,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622648835.557486,2021-06-02,11:47:15,7,g,22664,,None,755.46,,None,2,104,,,
6,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622649078.134311,2021-06-02,11:51:18,4,d,33100,,None,1103.32,,None,16,113,,,
7,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622649078.695557,2021-06-02,11:51:18,5,e,33106,,None,1103.52,,None,16,113,,,
8,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622649721.5414798,2021-06-02,12:02:01,4,d,30951,,None,1031.69,,None,18,147,,,
9,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622649722.8832068,2021-06-02,12:02:02,5,e,30978,,None,1032.59,,None,18,147,,,
10,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622650182.31335,2021-06-02,12:09:42,8,h,14796,,None,493.2,,None,6,168,,,
11,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622650192.0894852,2021-06-02,12:09:52,7,g,14999,,None,499.96,,None,None,None,,,
12,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622651964.924924,2021-06-02,12:39:24,8,h,28546,,None,951.52,,None,29,254,,,
13,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622654003.704628,2021-06-02,13:13:23,7,g,35184,,None,1172.79,,None,28,288,,,
14,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622654021.785344,2021-06-02,13:13:41,8,h,35336,,None,1177.85,,None,28,288,,,
15,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622655520.916084,2021-06-02,13:38:40,7,g,22366,,None,745.53,,None,20,349,,,
16,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622656402.307327,2021-06-02,13:53:22,8,h,28974,,None,965.79,,None,26,397,,,
17,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622656634.6673121,2021-06-02,13:57:14,8,h,963,,None,32.1,,None,8,410,,,
18,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622656985.905271,2021-06-02,14:03:05,7,g,18707,,None,623.56,,None,25,421,,,
19,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622657298.106412,2021-06-02,14:08:18,8,h,27385,,None,912.82,,None,17,437,,,
20,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622657307.432842,2021-06-02,14:08:27,4,d,27591,,None,919.69,,None,17,437,,,
21,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622657307.690785,2021-06-02,14:08:27,5,e,27594,,None,919.79,,None,17,437,,,
22,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622658310.419775,2021-06-02,14:25:10,7,g,13556,,None,451.86,,None,10,488,,,
23,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622729616.166174,2021-06-03,10:13:36,7,g,20865,,None,695.49,,None,19,502,,,
24,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622731273.1922932,2021-06-03,10:41:13,4,d,25266,,None,842.19,,None,21,577,,,
25,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622731273.382198,2021-06-03,10:41:13,5,e,25267,,None,842.22,,None,21,577,,,
26,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622731277.478427,2021-06-03,10:41:17,3,c,25355,,None,845.16,,None,21,577,,,
27,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622732057.959007,2021-06-03,10:54:17,4,d,7596,,None,253.2,,None,0,622,,,
28,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622732058.2283242,2021-06-03,10:54:18,5,e,7599,,None,253.3,,None,0,622,,,
29,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622732565.142823,2021-06-03,11:02:45,8,h,4353,,None,145.1,,None,11,651,,,
30,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622732745.502998,2021-06-03,11:05:45,7,g,20522,,None,684.06,,None,3,659,,,
31,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622732966.24611,2021-06-03,11:09:26,5,e,30422,,None,1014.06,,None,15,668,,,
32,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622733569.973805,2021-06-03,11:19:29,7,g,21482,,None,716.06,,None,13,704,,,
33,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622734235.645868,2021-06-03,11:30:35,8,h,5931,,None,197.7,,None,9,732,,,
34,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622734318.004687,2021-06-03,11:31:58,7,g,23135,,None,771.16,,None,27,737,,,
35,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622735311.849272,2021-06-03,11:48:31,4,d,25046,,None,834.86,,None,12,793,,,
36,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622735312.0144918,2021-06-03,11:48:32,5,e,25047,,None,834.89,,None,12,793,,,
37,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201212-WTMBT-D2-1-LD1.mp4,1622735316.6852832,2021-06-03,11:48:36,3,c,25149,,None,838.29,,None,12,793,,,
