path=/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,fileName=20201218_WTMBT_D2_2_LD5.mp4,width=1296.0,height=972.0,aspectRatio=0.75,fps=30.000300005704396,numFrames=55467,numSeconds=1848.88,numEvents=45,videoFileNote=,
index,path,cSeconds,cDate,cTime,typeNum,typeStr,frameStart,frameStop,numFrames,sStart,sStop,numSeconds,chunkIndex,rChunkIndex,note,
0,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622646297.4331331,2021-06-02,11:04:57,7,g,38752,,None,1291.72,,None,745,5,,,
1,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648313.6601448,2021-06-02,11:38:33,8,h,10837,,None,361.23,,None,724,76,,,
2,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648505.266412,2021-06-02,11:41:45,1,a,54021,,None,1800.68,,None,740,87,,,
3,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648505.558205,2021-06-02,11:41:45,2,b,54025,,None,1800.82,,None,740,87,,,
4,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648506.24271,2021-06-02,11:41:46,7,g,54038,,None,1801.25,,None,740,87,,,
5,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648775.143981,2021-06-02,11:46:15,8,h,36763,,None,1225.42,,None,747,101,,,
6,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648778.7444851,2021-06-02,11:46:18,7,g,36840,,None,1227.99,,None,747,101,,,
7,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648789.701965,2021-06-02,11:46:29,4,d,36718,,None,1223.92,,None,747,101,,,
8,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648796.3185542,2021-06-02,11:46:36,1,a,51621,,None,1720.68,,None,741,102,,,
9,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648796.5023491,2021-06-02,11:46:36,2,b,51623,,None,1720.75,,None,741,102,,,
10,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622648797.8242428,2021-06-02,11:46:37,7,g,51650,,None,1721.65,,None,741,102,,,
11,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622649017.712765,2021-06-02,11:50:17,1,a,53723,,None,1790.75,,None,746,110,,,
12,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201218_WTMBT_D2_2_LD5.mp4,1622649017.8682199,2021-06-02,11:50:17,2,b,53724,,None,1790.78,,None,746,110,,,
