path=/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,fileName=20201221_WTMBT_B6_4_LD1.mp4,width=1296.0,height=972.0,aspectRatio=0.75,fps=30.00029999745166,numFrames=54071,numSeconds=1802.35,numEvents=89,videoFileNote=,
index,path,cSeconds,cDate,cTime,typeNum,typeStr,frameStart,frameStop,numFrames,sStart,sStop,numSeconds,chunkIndex,rChunkIndex,note,
0,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622646229.876682,2021-06-02,11:03:49,2,b,6059,,None,201.96,,None,156,4,,,
1,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622646237.44669,2021-06-02,11:03:57,7,g,6175,,None,205.83,,None,156,4,,,
2,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622647008.759197,2021-06-02,11:16:48,1,a,6006,,None,200.2,,None,156,4,,,
3,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622648426.6416798,2021-06-02,11:40:26,1,a,26115,,None,870.49,,None,168,82,,,
4,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622648427.079693,2021-06-02,11:40:27,2,b,26121,,None,870.69,,None,168,82,,,
5,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622648427.668222,2021-06-02,11:40:27,7,g,26132,,None,871.06,,None,168,82,,,
6,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622649383.868177,2021-06-02,11:56:23,1,a,12625,,None,420.83,,None,151,129,,,
7,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622649384.0518458,2021-06-02,11:56:24,2,b,12627,,None,420.9,,None,151,129,,,
8,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622649385.6007318,2021-06-02,11:56:25,7,g,12659,,None,421.96,,None,151,129,,,
9,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622649627.401234,2021-06-02,12:00:27,7,g,10836,,None,361.2,,None,158,141,,,
10,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622649628.17135,2021-06-02,12:00:28,1,a,10851,,None,361.7,,None,158,141,,,
11,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622649628.5732899,2021-06-02,12:00:28,2,b,10857,,None,361.9,,None,158,141,,,
12,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622649658.9160728,2021-06-02,12:00:58,1,a,44121,,None,1470.69,,None,177,143,,,
13,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622649659.1035452,2021-06-02,12:00:59,2,b,44123,,None,1470.75,,None,177,143,,,
14,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622649659.677452,2021-06-02,12:00:59,7,g,44133,,None,1471.09,,None,177,143,,,
15,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622650856.9822679,2021-06-02,12:20:56,1,a,3628,,None,120.93,,None,157,202,,,
16,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201221_WTMBT_B6_4_LD1.mp4,1622650857.2626429,2021-06-02,12:20:57,2,b,3632,,None,121.07,,None,157,202,,,
