ANIMAL ID,STRAIN,LACTATION DAY,TIME AT ALL PUPS RETRIEVED,PUP RETRIEVAL INITIATION (s),PUP RETRIEVAL INITIATION (s),NEST SCORE,NOTES
D2_1,DBA/2J,LD1,1800,300,432,1,
B6_2,C57BL/6,LD1,391,22,22,1,
D2_2,DBA/2J,LD1,1220,27,27,2,
B6_1,C57BL/6,LD1,332,24,24,4,
B6_3,C57BL/6,LD1,109,13,13,4,
B6_4,C57BL/6,LD1,80,21,21,4,
B6_5,C57BL/6,LD1,1364,36,36,4,
D2_7,DBA/2J,LD1,1449,45,45,0,
D2_6,DBA/2J,LD1,1800,108,108,1,
D2_9,DBA/2J,LD1,196,88,88,1,
D2_10,DBA/2J,LD1,86,47,47,1,
D2_1,DBA/2J,LD3,623,190,190,1,
B6_2,C57BL/6,LD3,260,4,4,4,
D2_2,DBA/2J,LD3,1800,20,20,0,
B6_1,C57BL/6,LD3,312,45,45,,Video ends at 10m - JWB find original file 
B6_3,C57BL/6,LD3,1386,17,17,2,
B6_4,C57BL/6,LD3,337,32,32,2,
B6_5,C57BL/6,LD3,1800,9,9,4,"Moves a pup at 9 s, but not sure if it counts"
D2_7,DBA/2J,LD3,1800,300,1800,0,"NON ORIGINAL VALUES, JUST FOR PLOT CLARITY LIMITING IT TO FIVE MINUTES, CHECK WT_BEHAVIOR SCORING_AS FOR ORIGINAL TIMING"
D2_6,DBA/2J,LD3,924,300,895,1,"NON ORIGINAL VALUES, JUST FOR PLOT CLARITY LIMITING IT TO FIVE MINUTES, CHECK WT_BEHAVIOR SCORING_AS FOR ORIGINAL TIMING"
D2_9,DBA/2J,LD3,1800,300,1800,1,"NON ORIGINAL VALUES, JUST FOR PLOT CLARITY LIMITING IT TO FIVE MINUTES, CHECK WT_BEHAVIOR SCORING_AS FOR ORIGINAL TIMING"
D2_10,DBA/2J,LD3,1236,300,1225,1,"NON ORIGINAL VALUES, JUST FOR PLOT CLARITY LIMITING IT TO FIVE MINUTES, CHECK WT_BEHAVIOR SCORING_AS FOR ORIGINAL TIMING"
D2_1,DBA/2J,LD5,76,31,31,1,
B6_2,C57BL/6,LD5,240,9,9,4,
D2_2,DBA/2J,LD5,1620,38,38,2,
B6_1,C57BL/6,LD5,73,15,15,4,
B6_3,C57BL/6,LD5,94,13,13,4,
B6_4,C57BL/6,LD5,885,10,10,2,"Not sure if first retrieval at 10 s counts, next one is at 39 s"
B6_5,C57BL/6,LD5,837,10,10,4,
D2_7,DBA/2J,LD5,1059,300,500,0,"NON ORIGINAL VALUES, JUST FOR PLOT CLARITY LIMITING IT TO FIVE MINUTES, CHECK WT_BEHAVIOR SCORING_AS FOR ORIGINAL TIMING"
D2_6,DBA/2J,LD5,1584,190,190,3,
D2_9,DBA/2J,LD5,718,87,87,2,
D2_10,DBA/2J,LD5,1800,49,49,3,
